In this analyse, we chose lmbd=0.01, eta=0.01 and 300 epochs...

n_layers: 1, batch_size:10, n_neurons:5 gives score of: [0.6482295989990234, 0.6666666865348816] 
n_layers: 1, batch_size:90, n_neurons:60 gives score of: [0.5181458592414856, 0.8166666626930237] 
n_layers: 1, batch_size:90, n_neurons:65 gives score of: [0.546005129814148, 0.7833333611488342] 
n_layers: 1, batch_size:90, n_neurons:70 gives score of: [0.4482029676437378, 0.8500000238418579] 
n_layers: 1, batch_size:90, n_neurons:75 gives score of: [0.553493857383728, 0.8333333134651184] 
n_layers: 1, batch_size:90, n_neurons:80 gives score of: [0.4827231764793396, 0.8500000238418579] 
n_layers: 1, batch_size:100, n_neurons:5 gives score of: [0.4084326922893524, 0.8666666746139526] 
n_layers: 1, batch_size:100, n_neurons:10 gives score of: [0.4489966630935669, 0.8500000238418579] 
n_layers: 1, batch_size:100, n_neurons:15 gives score of: [0.4350276589393616, 0.8500000238418579] 
n_layers: 1, batch_size:100, n_neurons:20 gives score of: [0.41769522428512573, 0.8833333253860474] 
n_layers: 1, batch_size:100, n_neurons:25 gives score of: [0.4079034924507141, 0.8833333253860474] 
n_layers: 1, batch_size:100, n_neurons:30 gives score of: [0.40905481576919556, 0.8500000238418579] 
n_layers: 1, batch_size:100, n_neurons:35 gives score of: [0.6144066452980042, 0.7833333611488342] 
n_layers: 1, batch_size:100, n_neurons:40 gives score of: [0.45003432035446167, 0.8500000238418579] 
n_layers: 1, batch_size:100, n_neurons:45 gives score of: [0.597482442855835, 0.8500000238418579] 
n_layers: 1, batch_size:100, n_neurons:50 gives score of: [0.42061659693717957, 0.8833333253860474] 
n_layers: 1, batch_size:100, n_neurons:55 gives score of: [0.6398802995681763, 0.8166666626930237] 
n_layers: 1, batch_size:100, n_neurons:60 gives score of: [0.4244331419467926, 0.8500000238418579] 
n_layers: 1, batch_size:100, n_neurons:65 gives score of: [0.4174317419528961, 0.8666666746139526] 
n_layers: 1, batch_size:100, n_neurons:70 gives score of: [0.42120757699012756, 0.8833333253860474] 
n_layers: 1, batch_size:100, n_neurons:75 gives score of: [0.4144245386123657, 0.8833333253860474] 
n_layers: 1, batch_size:100, n_neurons:80 gives score of: [0.5921342372894287, 0.8833333253860474] 
n_layers: 1, batch_size:110, n_neurons:5 gives score of: [1.4966542720794678, 0.6333333253860474] 
n_layers: 1, batch_size:110, n_neurons:10 gives score of: [0.49496105313301086, 0.800000011920929] 
n_layers: 1, batch_size:110, n_neurons:15 gives score of: [0.6137067079544067, 0.8500000238418579] 
n_layers: 1, batch_size:110, n_neurons:20 gives score of: [1.0618939399719238, 0.8833333253860474] 
n_layers: 1, batch_size:110, n_neurons:25 gives score of: [0.6686058044433594, 0.8500000238418579] 
n_layers: 1, batch_size:110, n_neurons:30 gives score of: [0.5187264084815979, 0.8166666626930237] 
n_layers: 1, batch_size:110, n_neurons:35 gives score of: [0.42653903365135193, 0.8833333253860474] 
n_layers: 1, batch_size:110, n_neurons:40 gives score of: [0.6676603555679321, 0.8166666626930237] 
n_layers: 1, batch_size:110, n_neurons:45 gives score of: [0.4274032711982727, 0.8999999761581421] 
n_layers: 1, batch_size:110, n_neurons:50 gives score of: [0.5037887096405029, 0.8333333134651184] 
n_layers: 1, batch_size:110, n_neurons:55 gives score of: [0.6224330067634583, 0.7333333492279053] 
n_layers: 1, batch_size:110, n_neurons:60 gives score of: [0.43862903118133545, 0.8666666746139526] 
n_layers: 1, batch_size:110, n_neurons:65 gives score of: [0.4616425633430481, 0.8333333134651184] 
n_layers: 1, batch_size:110, n_neurons:70 gives score of: [0.5422694087028503, 0.7833333611488342] 
n_layers: 1, batch_size:110, n_neurons:75 gives score of: [0.4106563925743103, 0.8666666746139526] 
n_layers: 1, batch_size:110, n_neurons:80 gives score of: [0.4845820665359497, 0.8333333134651184] 
n_layers: 1, batch_size:120, n_neurons:5 gives score of: [1.6451047658920288, 0.6833333373069763] 
n_layers: 1, batch_size:120, n_neurons:10 gives score of: [1.825746774673462, 0.6666666865348816] 
n_layers: 1, batch_size:120, n_neurons:15 gives score of: [0.41999441385269165, 0.8666666746139526] 
n_layers: 1, batch_size:120, n_neurons:20 gives score of: [0.4757658541202545, 0.8500000238418579] 
n_layers: 1, batch_size:120, n_neurons:25 gives score of: [0.4750014543533325, 0.800000011920929] 
n_layers: 1, batch_size:120, n_neurons:30 gives score of: [0.5173295140266418, 0.8166666626930237] 
n_layers: 1, batch_size:120, n_neurons:35 gives score of: [0.4610445201396942, 0.8500000238418579] 
n_layers: 1, batch_size:120, n_neurons:40 gives score of: [0.39496904611587524, 0.8666666746139526] 
n_layers: 1, batch_size:120, n_neurons:45 gives score of: [0.44161632657051086, 0.8833333253860474] 
n_layers: 1, batch_size:120, n_neurons:50 gives score of: [0.552535355091095, 0.8500000238418579] 
n_layers: 1, batch_size:120, n_neurons:55 gives score of: [0.5456143617630005, 0.7833333611488342] 
n_layers: 1, batch_size:120, n_neurons:60 gives score of: [0.4555993378162384, 0.8666666746139526] 
n_layers: 1, batch_size:120, n_neurons:65 gives score of: [0.4521414339542389, 0.8666666746139526] 
n_layers: 1, batch_size:120, n_neurons:70 gives score of: [0.44407519698143005, 0.8666666746139526] 
n_layers: 1, batch_size:120, n_neurons:75 gives score of: [0.5964940786361694, 0.8666666746139526] 
n_layers: 1, batch_size:120, n_neurons:80 gives score of: [0.5504252910614014, 0.8166666626930237] 
n_layers: 1, batch_size:130, n_neurons:5 gives score of: [0.5258379578590393, 0.7833333611488342] 
n_layers: 1, batch_size:130, n_neurons:10 gives score of: [0.5757160186767578, 0.75] 
n_layers: 1, batch_size:130, n_neurons:15 gives score of: [0.5785390734672546, 0.8333333134651184] 
n_layers: 1, batch_size:130, n_neurons:20 gives score of: [0.40574970841407776, 0.8833333253860474] 
n_layers: 1, batch_size:130, n_neurons:25 gives score of: [0.4756731688976288, 0.8500000238418579] 
n_layers: 1, batch_size:130, n_neurons:30 gives score of: [0.4849710166454315, 0.8333333134651184] 
n_layers: 1, batch_size:130, n_neurons:35 gives score of: [0.4989122450351715, 0.8333333134651184] 
n_layers: 1, batch_size:130, n_neurons:40 gives score of: [0.4108067750930786, 0.8666666746139526] 
n_layers: 1, batch_size:130, n_neurons:45 gives score of: [0.519170343875885, 0.8500000238418579] 
n_layers: 1, batch_size:130, n_neurons:50 gives score of: [0.428597092628479, 0.8333333134651184] 
n_layers: 1, batch_size:130, n_neurons:55 gives score of: [0.4565802812576294, 0.8833333253860474] 
n_layers: 1, batch_size:130, n_neurons:60 gives score of: [0.44476747512817383, 0.8666666746139526] 
n_layers: 1, batch_size:130, n_neurons:65 gives score of: [0.49758321046829224, 0.8333333134651184] 
n_layers: 1, batch_size:130, n_neurons:70 gives score of: [0.5186411142349243, 0.8500000238418579] 
n_layers: 1, batch_size:130, n_neurons:75 gives score of: [0.5536845326423645, 0.8333333134651184] 
n_layers: 1, batch_size:130, n_neurons:80 gives score of: [0.5323402285575867, 0.8333333134651184] 
n_layers: 1, batch_size:140, n_neurons:5 gives score of: [1.697139859199524, 0.7333333492279053] 
n_layers: 1, batch_size:140, n_neurons:10 gives score of: [0.7197607755661011, 0.699999988079071] 
n_layers: 1, batch_size:140, n_neurons:15 gives score of: [0.9850400686264038, 0.8166666626930237] 
n_layers: 1, batch_size:140, n_neurons:20 gives score of: [0.7106277346611023, 0.8666666746139526] 
n_layers: 1, batch_size:140, n_neurons:25 gives score of: [0.5488888025283813, 0.8333333134651184] 
n_layers: 1, batch_size:140, n_neurons:30 gives score of: [0.5342962145805359, 0.8333333134651184] 
n_layers: 1, batch_size:140, n_neurons:35 gives score of: [0.5710518956184387, 0.8500000238418579] 
n_layers: 1, batch_size:140, n_neurons:40 gives score of: [0.8177835941314697, 0.8500000238418579] 
n_layers: 1, batch_size:140, n_neurons:45 gives score of: [0.4872947633266449, 0.8166666626930237] 
n_layers: 1, batch_size:140, n_neurons:50 gives score of: [0.6065295338630676, 0.8500000238418579] 
n_layers: 1, batch_size:140, n_neurons:55 gives score of: [0.4220938980579376, 0.8833333253860474] 
n_layers: 1, batch_size:140, n_neurons:60 gives score of: [0.6579000949859619, 0.8166666626930237] 
n_layers: 1, batch_size:140, n_neurons:65 gives score of: [0.4520624279975891, 0.8333333134651184] 
n_layers: 1, batch_size:140, n_neurons:70 gives score of: [0.4484154284000397, 0.8833333253860474] 
n_layers: 1, batch_size:140, n_neurons:75 gives score of: [0.4728389382362366, 0.8500000238418579] 
n_layers: 1, batch_size:140, n_neurons:80 gives score of: [0.5017547011375427, 0.8333333134651184] 
n_layers: 1, batch_size:150, n_neurons:5 gives score of: [0.6230641007423401, 0.6833333373069763] 
n_layers: 1, batch_size:150, n_neurons:10 gives score of: [0.442804217338562, 0.8666666746139526] 
n_layers: 1, batch_size:150, n_neurons:15 gives score of: [0.5252429246902466, 0.7833333611488342] 
n_layers: 1, batch_size:150, n_neurons:20 gives score of: [0.5036457180976868, 0.8333333134651184] 
n_layers: 1, batch_size:150, n_neurons:25 gives score of: [0.4986993074417114, 0.7833333611488342] 
n_layers: 1, batch_size:150, n_neurons:30 gives score of: [0.46722981333732605, 0.8333333134651184] 
n_layers: 1, batch_size:150, n_neurons:35 gives score of: [0.6910771131515503, 0.8666666746139526] 
n_layers: 1, batch_size:150, n_neurons:40 gives score of: [0.4672805666923523, 0.8500000238418579] 
n_layers: 1, batch_size:150, n_neurons:45 gives score of: [0.47602856159210205, 0.8500000238418579] 
n_layers: 1, batch_size:150, n_neurons:50 gives score of: [0.46650105714797974, 0.8333333134651184] 
n_layers: 1, batch_size:150, n_neurons:55 gives score of: [0.4832286834716797, 0.8500000238418579] 
n_layers: 1, batch_size:150, n_neurons:60 gives score of: [0.6571635007858276, 0.8666666746139526] 
n_layers: 1, batch_size:150, n_neurons:65 gives score of: [0.4401983618736267, 0.8666666746139526] 
n_layers: 1, batch_size:150, n_neurons:70 gives score of: [0.4336818754673004, 0.8666666746139526] 
n_layers: 1, batch_size:150, n_neurons:75 gives score of: [0.470394104719162, 0.8500000238418579] 
n_layers: 1, batch_size:150, n_neurons:80 gives score of: [0.39230436086654663, 0.8999999761581421] 
n_layers: 1, batch_size:160, n_neurons:5 gives score of: [0.5774519443511963, 0.7333333492279053] 
n_layers: 1, batch_size:160, n_neurons:10 gives score of: [0.7347723841667175, 0.6666666865348816] 
n_layers: 1, batch_size:160, n_neurons:15 gives score of: [0.6450123190879822, 0.6833333373069763] 
n_layers: 1, batch_size:160, n_neurons:20 gives score of: [0.6653861999511719, 0.800000011920929] 
n_layers: 1, batch_size:160, n_neurons:25 gives score of: [0.584190309047699, 0.8166666626930237] 
n_layers: 1, batch_size:160, n_neurons:30 gives score of: [0.45511969923973083, 0.8166666626930237] 
n_layers: 1, batch_size:160, n_neurons:35 gives score of: [0.4201759994029999, 0.8833333253860474] 
n_layers: 1, batch_size:160, n_neurons:40 gives score of: [0.4840056300163269, 0.8666666746139526] 
n_layers: 1, batch_size:160, n_neurons:45 gives score of: [0.3982394337654114, 0.8666666746139526] 
n_layers: 1, batch_size:160, n_neurons:50 gives score of: [0.660641074180603, 0.8666666746139526] 
n_layers: 1, batch_size:160, n_neurons:55 gives score of: [0.5130499005317688, 0.8500000238418579] 
n_layers: 1, batch_size:160, n_neurons:60 gives score of: [0.48741644620895386, 0.8500000238418579] 
n_layers: 1, batch_size:160, n_neurons:65 gives score of: [0.44456106424331665, 0.8833333253860474] 
n_layers: 1, batch_size:160, n_neurons:70 gives score of: [0.591158926486969, 0.7833333611488342] 
n_layers: 1, batch_size:160, n_neurons:75 gives score of: [0.7196483612060547, 0.8166666626930237] 
n_layers: 1, batch_size:160, n_neurons:80 gives score of: [0.511844277381897, 0.800000011920929] 
n_layers: 1, batch_size:170, n_neurons:5 gives score of: [0.6957689523696899, 0.550000011920929] 
n_layers: 1, batch_size:170, n_neurons:10 gives score of: [1.7186325788497925, 0.7166666388511658] 
n_layers: 1, batch_size:170, n_neurons:15 gives score of: [0.8926984071731567, 0.8166666626930237] 
n_layers: 1, batch_size:170, n_neurons:20 gives score of: [0.4368109405040741, 0.8833333253860474] 
n_layers: 1, batch_size:170, n_neurons:25 gives score of: [0.6179476380348206, 0.8166666626930237] 
n_layers: 1, batch_size:170, n_neurons:30 gives score of: [0.43242406845092773, 0.8500000238418579] 
n_layers: 1, batch_size:170, n_neurons:35 gives score of: [0.8825142979621887, 0.8666666746139526] 
n_layers: 1, batch_size:170, n_neurons:40 gives score of: [0.5320290923118591, 0.8166666626930237] 
n_layers: 1, batch_size:170, n_neurons:45 gives score of: [0.5492886304855347, 0.8166666626930237] 
n_layers: 1, batch_size:170, n_neurons:50 gives score of: [0.45333805680274963, 0.8666666746139526] 
n_layers: 1, batch_size:170, n_neurons:55 gives score of: [0.6409443020820618, 0.8333333134651184] 
n_layers: 1, batch_size:170, n_neurons:60 gives score of: [0.4546125531196594, 0.8666666746139526] 
n_layers: 1, batch_size:170, n_neurons:65 gives score of: [0.43300381302833557, 0.8500000238418579] 
n_layers: 1, batch_size:170, n_neurons:70 gives score of: [0.4744007885456085, 0.8500000238418579] 
n_layers: 1, batch_size:170, n_neurons:75 gives score of: [0.5410726070404053, 0.8666666746139526] 
n_layers: 1, batch_size:170, n_neurons:80 gives score of: [0.4694405198097229, 0.8333333134651184] 
n_layers: 1, batch_size:180, n_neurons:5 gives score of: [0.6551095843315125, 0.8500000238418579] 
n_layers: 1, batch_size:180, n_neurons:10 gives score of: [0.482844740152359, 0.8166666626930237] 
n_layers: 1, batch_size:180, n_neurons:15 gives score of: [0.5511761903762817, 0.7666666507720947] 
n_layers: 1, batch_size:180, n_neurons:20 gives score of: [0.4373968839645386, 0.8166666626930237] 
n_layers: 1, batch_size:180, n_neurons:25 gives score of: [0.5937219262123108, 0.8500000238418579] 
n_layers: 1, batch_size:180, n_neurons:30 gives score of: [0.8489595055580139, 0.8666666746139526] 
